"date","Temperature_diff","Humidity_diff","Light_diff","CO2_diff","HumidityRatio_diff","Occupancy_diff"
"2015-02-02 14:19:00","","","","","",""
"2015-02-02 14:19:59","0.0180000000000007","0.0180000000000007","-6.80000000000007","11.1999999999999","8.49796796104953e-06","0"
"2015-02-02 14:21:00","0.0120000000000005","-0.0599999999999987","-5.73333333333301","9.26666666666699","-7.50843965977976e-06","0"
"2015-02-02 14:22:00","-0.00750000000000028","-0.105","-78.916666666667","5.08333333333303","-2.13791964685604e-05","0"
"2015-02-02 14:23:00","0.0315000000000012","0.0749999999999993","-5.14999999999998","4.25","2.28206439893e-05","0"
"2015-02-02 14:23:59","0.00600000000000023","0.0600000000000023","80.0666666666669","11","1.27384316483898e-05","0"
"2015-02-02 14:25:00","-0.0300000000000011","0.0299999999999976","-32.3333333333339","8","-3.19609888561976e-06","0"
"2015-02-02 14:25:59","0.0240000000000009","0","-27.333333333333","-1","6.95737564145992e-06","0"
"2015-02-02 14:26:59","0","0.0600000000000023","-33","6.20000000000005","1.10002882300298e-05","0"
"2015-02-02 14:28:00","-0.0180000000000007","0.0399999999999991","34","5.79999999999995","2.09471376894001e-06","0"
"2015-02-02 14:29:00","0.00900000000000034","0.0549999999999997","-28.5","6.25","1.26975102878102e-05","0"
"2015-02-02 14:30:00","-0.0450000000000017","0.114999999999998","0.300000000000011","8.75","7.90714705864014e-06","0"
"2015-02-02 14:31:00","0","0.0400000000000027","-6.55000000000001","8","7.31046901294042e-06","0"
"2015-02-02 14:31:59","0","0.0999999999999979","-6.25","13.333333333333","1.82769185868899e-05","0"
"2015-02-02 14:32:59","0","0.0740000000000016","-5","7.06666666666695","1.35256059541301e-05","0"
"2015-02-02 14:34:00","0","0.116","0","8.60000000000002","2.12034759010001e-05","0"
"2015-02-02 14:35:00","0","0.0824999999999996","-9","19","1.50809311732399e-05","0"
"2015-02-02 14:36:00","-0.0999999999999979","-0.0824999999999996","-1","11","-4.45963543940801e-05","0"
"2015-02-02 14:37:00","0.0399999999999991","0.0859999999999985","4","6.60000000000002","2.74503671601799e-05","0"
"2015-02-02 14:38:00","0.00999999999999801","0.0740000000000016","6","2.89999999999998","1.64468081661302e-05","0"
"2015-02-02 14:38:59","-0.00999999999999801","0.0500000000000007","9","8.29999999999995","6.13865416199989e-06","0"
"2015-02-02 14:39:59","-0.0399999999999991","0.0599999999999987","-9","9.20000000000005","-9.7839823284037e-07","0"
"2015-02-02 14:41:00","0","0.0760000000000005","34.4","7.20000000000005","1.38101433305206e-05","0"
"2015-02-02 14:42:00","0","0.0539999999999985","31.8000000000001","4.19999999999993","9.81284001878944e-06","0"
"2015-02-02 14:43:00","0","0.0399999999999991","3.39999999999998","7","7.26896844087995e-06","0"
"2015-02-02 14:44:00","0","0.0100000000000016","-9.35000000000002","13.6","1.81726844832031e-06","0"
"2015-02-02 14:44:59","0.0249999999999986","0.0524999999999984","-25.583333333333","11","1.70446819775898e-05","0"
